# LaunchAgent (169) — label + RunAtLoad/KeepAlive/Program
com.balizero.wr2.plist-watchdog | prog=bash | KeepAlive=
com.balizero.wr2.queue-server | prog=python3 | KeepAlive=true
com.balizero.wr2.reflexion.weekly | prog=python | KeepAlive=
com.balizero.wr2.sla-worker | prog=bash | KeepAlive=false
com.balizero.wr2.strategos | prog=wr2-cron-wrapper.sh | KeepAlive=
com.balizero.wr2.supervisor-watchdog | prog=wr2-script-wrapper.sh | KeepAlive=Dict {
com.balizero.wr2.supervisor | prog=wr2-script-wrapper.sh | KeepAlive=true
com.balizero.wr2.telegram-gate | prog=wr2-telegram-gate-wrapper.sh | KeepAlive=true
com.balizero.wr2.topic-selector | prog=wr2-script-wrapper.sh | KeepAlive=
com.balizero.wr2.trend-hunter | prog=bash | KeepAlive=false
com.balizero.wr2.voyager.weekly | prog=python | KeepAlive=
com.balizero.wr2.worktree-gc.daily | prog=python | KeepAlive=false
com.balizero.wr3.editorial-bench.monthly | prog=bash | KeepAlive=
com.balizero.wr3.reflexion.weekly | prog=python3 | KeepAlive=
com.balizero.wr3.supervisor | prog=wr3-supervisor-wrapper.sh | KeepAlive=true
com.balizero.wr3.yt-metrics.weekly | prog=bash | KeepAlive=
com.balizero.yield-optimizer.weekly | prog=zsh | KeepAlive=false
com.cell.metabolic-rollup | prog=bash | KeepAlive=
com.cell.organism | prog=bash | KeepAlive=true
