no,kode_kbli,judul_kbli,ruang_lingkup,skala_usaha,tingkat_risiko,perizinan_berusaha,persyaratan,jangka_waktu_penerbitan,kewajiban,pb_uu_ikm,parameter,kewenangan
,10000,"(satu 2. Merehabilitaprovinsi, lingkungberbanding si kerusakan dan taman an air sepuluh ribu) yang tedadi buru",,,,,"2. Merehabilitaprovinsi, lingkungberbanding si kerusakan dan taman an air sepuluh ribu) yang tedadi buru skala/ dan dilampiri akibat kategori dengan data kegiatan kecil untuk shapefile 5. Rencana Jasa usaha pengusahaan 3. an massa Jasa",,,,,
,52333,C LC.40 Itlo Kode Judul Ruang SLrla TtngLat Perizinan Persyaratan Janglra Kcwqiiban PB Paramcter Kewcnangen,,,,,4. Memberikan an jasa pembayaran kemudahan lingkungIuran atau bagi petugas an air 6. Melaksanauntuk kan kegiatan pengamanan usaha medi areal manfaatusaha kan massa 8. Menyampaikan data spasial dan/atau non spasial terkait kegiatan 9. Melakukan kegiatan di lapangan setelah 1. Menyampaikan rencana keda tahunan kepada,,,,,
,52337,C PRESIDEN REPUBLTK INDONESIA r.c.44 I[o Kode Judul Ruang Strala TingLat Perizinan Persyaratan Janglra Kewajiben,,,,,13. Menyampaikan laporan debit pemanfaatan air per tiga bulan kepada 14. Membayar PNBP atau,,,,,
,52338,C PRESIDEN REPIJBLIK INDONESIA r.c.45 Ilo Kode Judul Ruang Slrela TiagLat Perlzlnen Pereyaratan Jangke Kewajiban,,,Tinggi,NIB dan Izin,15. Memasang meteran air minimal sesuai dengan 16. Memelihara tanda batas 17. Memiliki pas masuk kawasan 1. Menjaga agar 1. Gubernur an jasa -,25 Hari,,,,Gubernur
,10000,(satu atau Taman taman buru berbanding Buru SK No l5234l0 r.c.48 IIo Kode Judul Ruang,,,,,2. Merehabilitadilampiri si kerusakan dengan data yang teq'adi shapefile akibat 5. Rencana kegiatan pengusahaan 3. Menjaga yang kebersihan disahkan lingkungan oleh 6. Bukti alam pembayaran 4. Memberikan,,,,,
,52342,C PRES IDEN REFUBLIK INDONESIA r.c.49 Ifo Kode Judul Ruang SLela Tingtet Perizlnan Persyereten Jangke,,,,,5. Melaksanaundangan kan kegiatan konservasi sumber daya air pada kawasan 6. Melaksanakan pengamanan di areal usaha,,,,,
,52343,C PRESIDEN REPUBLIK !NDONESIA r.c.50 No Kode Judul Ruang gLnla Tinglet Perizinan Persyaratan Jangta Kcwqfibaa,,,,,7. Melaksanakan pemberdayaan masyarakat 8. Menyampaikan data spasial dan/atau non spasial terkait kegiatan 9. Melakukan kegiatan di lapangan paling lambat,,,,,
,52344,C FRESIDEN REPUBLIK INDONESIA No Kode Judul Ruang SLala TiagLet Perlzlnan Persyaratan Jangka KcwaJlban PB,,,,,12. Menyampaikan laporan hasil pelaksanaan kegiatan tahunan kepada 13. Menyampaikan laporan debit pemanfaatan 14. Membayar PNBP atau 15. Memasang meteran listrik,,,,,
,52347,C ItIo Kode Judul Ruang Skda TtagLat Perizinan Persyaratan JangLa Kcwqiiban PB Parameter Kcwenangen KBLI,,,Tinggi,NIB dan Izin,16. Memelihara tanda batas yang telah dipasang di lapangan 17. Memiliki pas masuk 1. Gubernur an sarana - 2. Bupati/ jasa - 2. Benta acara rencana skala pemanfaatpemberian karya kabupaten/ an di tanda batas tahunan kota taman dan peta yang,30 Hari,,,,Gubernur
,25000,(satu Kepala Dinas taman hutan taman banding dua Provinsi atau raya skala hutan raya puluh,,,,,2. Merealisasiatau,,,,,
,52350,C FRESIDEN REPUBLIK INDONESIA r.c.57 No Kode Judul Ruang Strda TingLet Perizinan Persyaratan Janglra Kewqiiban,,,,,3. Peta usulan tahunan areal yang telah kegiatan disahkan usaha paling dengan skala lambat,,,,,
,25000,(satu setelah banding dua Penzinan puluh lima Berusaha ribu) dan Sarana Jasa data peta Lingkungan,,,,,3. Melaksanashapehle kan 4. Rencana pengamanan,,,,,
,52351,C IYo Kodc Judul Ruang SLala Ttngkat Perlzinrn Persyereten Jeagle Kcwqflban PB Peramctcr Kcwcnengan KBLI,,,,,4. Menjaga Dinas kebersihan 5. Merehabilitakewenangan si kerusakan 5. Disain fisik yang terjadi dan tata letak akibat (site planl kegiatan sarana dan,,,,,
,52352,C FRES!DEN REPUBLIK INDONESIA IYo Kode Judul Rueng Skrla Tinglet Perizinan Persyaratan Jangka Kewqiiban PB,,,,,6. Memberi (untuk 7. dengan Memelihara,,,,,
,52353,C TingLat Perlzlnan Persyaratan Janglra Kewqilban PB Paramcter Kewenangan KBLI KBLI Ltagkup Usaha Rlsiko Benrsaha,,,,,9. Bukti pemerintah pembayaran 8. Melibatkan iuran atau tenaga ahli retribusi di bidang 9. Membuat laporan,,,,,Gubernur
,52355,C PRES DEN I REPUBLIK INDONESIA r.c.62 No Kode Judul Ruang Stata Tingket Pcrizinan Persyaratan,,,,,10. Membayar PHU-PSWA atau retribusi hasil 1. Merealisasikan pembangunan sarana wisata sesuai 12. Pemegang Perizinan,,,,,
,52357,C 1.c.64 No Kode Judul Ruang gkqta Tinglat Perizinan Persyaratan Jangta KewaJlban PB Parameter Kewcnangan,,,,,13. Merealisasikan membayar 14. Pemegang perpanjangan,,,,,
,52358,C PRESIDEN REPUBLTK INDONESIA r.c.65 IlIo Kode Judul Ruaag SLafa TingLat Perizinan Persyaratan Jangla Kewajiban,,,Tinggi,NIB dan,15. Memenuhi kelaikan operasional sarana prasarana sesuai standar di 16. Membuat standar operasional pelaksanaan kegiatan 17. Memelihara tanda batas yang telah dipasang di lapangan 18. Menyelesaikan konflik sosial akibat adanya kegiatan usaha 2. Gubernur marga- -,5 Hari,,,,Menteri
,23610,r.c.68 Tingtat Periziaan Persyaratan JangLe Kewqiiban PB PrraECtcr Kcwcnangaa KBLI KBLI Ltngkup Ueahe Risiko Berusahe,,,,,5. Membayar pungutan hasil usaha,,,,,
,52362,C r.c.69 I[o Kodc Judul Ruang Skah Tingkat Perizinan Persyaratan Jangta Kewajiban PB Perameter Kcwcnengan,,,Tinggi,NIB dan Izin,7. Pelaku Usaha dan/atau seluruh karyawan serta 8. Membuat standar operasional pelaksanaan kegiatan sesuai dengan.lasa 2. Beita acara,30 Hari,,,Seluruh,Menteri
,25000,(satu pembangunberbanding an sarana dua puluh untuk lima ribu) menunjang yang ditandawisata tangani oleh berburu,,,,,,,,,,
,52365,C FRESIDEN REPUBLIK INDONESIA r.c.72 No Kode Judul Ruang Skrla TlngLat Perlzinan Pcrsyaratan Jangle Kcwqjibrn,,,rendah,,,,,,,
,25000,(satu setelah berbanding Perizinan dua puluh Berusaha lima ribu) Pengusahadan data peta an Taman digital,,,,,4. Rencana kan kegiatan 4. Menyediakan pembayaran sarana dan 5. Mempekeq'akan tenaga ahli sesuai dengan jenis kegiatan usaha yang dikelolanya 6. Mengikutsertakan masyarakat di sekitar,,,,,
,52367,C r.c.74 IYo Kode Judul Ruang SLqla Tiagkat Perlzinan Persyaratan Jangta KcwaJiban PB Parameter Kcweaangan,,,,,7. Membuat laporan kegiatan,,,,,
,52368,C r.c.75 Ilto Kode Judul Ruang Skda TlngLet Perizinan Persyaratan Jengta KewaJiban PB Pararneter Kcwenangan,,,,,8. Membayar pungutan hasil usaha 9. Merehabilitasi kerusakan yang diakibatkan oleh kegiatan usahanya 10. Menjamin keamanan dan ketertiban para pengunjung 1. Turut menjaga kelestarian,,,,,
