ID,Name,Category
1UIe7PjdiC73VmjoQbHm8EbjUUpmLN_WA	Aparatur Sipil Negara.pdf	Other
1VMY0cbcVZNkF14AuEyBUDPefNUe6EffI	Badan Usaha Milik Negara.pdf	Other
1Gyx3fh3d5dKopQm4malUU-ijLXXKtS41	badung_kuta_01_51A3_PP.pdf	Other
1nHUcLx35o05r_XuGUVEVlJC31kjH5VoM	badung_kuta_02_51A3_BA_Lampiran.pdf	Other
1TEOxSJJEt7h7QuarB0Xn73qV2MrVEtZQ	badung_kuta_selatan_01_51A1_PP.pdf	Other
12fPIu-aLC0yaVKMlxYJh6vLQBeBgB1qa	badung_kuta_selatan_02_51A1_BA_Lampiran.pdf	Other
1LL-YaZ4_os88cmQH7FlBIinqEcMRRbuJ	badung_kuta_utara_01_51A4_PP.pdf	Other
1lC6VNhNtOL56OreGINUb2jOcdbT4zk1P	badung_kuta_utara_02_51A4_BA_Lampiran.pdf	Other
1c-K-DifgBSY3wQWUSXZK37GdEu1tV49n	badung_mengwi_01_51A6_PP.pdf	Other
1tKiRMiqMNXnmMqVgZCJa4oIm5YoZJe5G	Beranda Subjek Jenis Tahun Glosarium Tematik Perwakilan.pdf	Other
1gGBV-HtHMPv7n4SWJ8cyvhu9vjoLKJmK	Beranda Subjek Jenis Tahun Glosarium Tematik Perwakilan.pdf	Other
1uQTlzvmmdUJSjE9n2jwQm-3vXSKeUYvE	Cipta Kerja.pdf	Other
1aFxcftSQZl3kiBbwIEEIWPCY7UBl5WXZ	Civil Code.pdf	Other
1Hw1KfSxLv2tUIQN3sraz-RnQD9RPQ1a0	Copy of UU-11-2020_20251122_163034_38bf40.pdf	Other
1M3RjxwEx55YbNXPPUj5RhfCtqFri4enY	Copy of UU-27-2022_20251122_163035_07f926.pdf	Other
1_UPlZVK7plP99swb2GA8-j7QL-gz4E7O	Copy of UU-42-2009_20251122_163034_b66d40.pdf	Other
13AdAR0JBHESF_0W5EPSE87Sc3vYVwQfD	Copy of UU-63-2024_20251122_163034_69f2f0.pdf	Other
1BmzcDh4xsgSVMEBRvGLhLOyTrsZTBcT_	Copy of UU_11_2020_Omnibus_Law_20251122_163034_f2e57f.pdf	Other
1RVRybAd8yiTkAjCo8GnrLvQHUYzW4_I0	Copy of UU_12_2012_Pendidikan_Tinggi_20251122_163034_760137.pdf	Other
13NgM3xXCuXrByRgj5Imafz0umfIY418w	Copy of UU_13_2003_Ketenagakerjaan_20251122_163034_5ff27c.pdf	Other
1hFIIpfIMGBWPIVD5V_aUuW58elAwPI94	Copy of UU_13_2003_Manpower_20251122_163034_aba4f9.pdf	Other
1k2ieQkZvcFQubIuHaI7ZaVb-mq-LSsNq	Copy of UU_17_2008_Pelayaran_20251122_163034_6aff88.pdf	Other
1Na58DGTsC-cHk1OioKRHSKKqNuF5dOqo	Copy of UU_17_2008_Shipping_20251122_163034_34831e.pdf	Other
1BLw63v2Mii7q8PUkz1OwGmJ_sy-oKfCP	Copy of UU_18_2008_Persampahan_20251122_163034_06aac1.pdf	Other
15OHZtrv7ZiunyNy1E60jXEAdFfqgdzZo	Copy of UU_19_2016_ITE_20251122_163034_f5277a.pdf	Other
1JFRuztLawfzK11IDfwAmBTFlXuQZ_mk2	Copy of UU_1_2022_Relations_Central_Regional_20251122_163034_2449fe.pdf	Other
14aYp-w1gNRvuxnf_iESa7Zpf-SEtB5Py	Copy of UU_20_2003_Education_System_20251122_163034_b0724e.pdf	Other
1rfH3oTywhIQ_fCMoLKKbf3Oq6wpjlAQo	Copy of UU_20_2016_TKA_20251122_163034_fe6a34.pdf	Other
1XypKI--I3shG-uXqJP1niz3hmBUCRwKM	Copy of UU_21_2008_Sharia_Banking_20251122_163034_a8f533.pdf	Other
1riKfeSfkmObr2JxqYLi0fR2x90r7LJ9K	Copy of UU_21_2011_OJK_20251122_163034_2aad03.pdf	Other
19IbLvkq9wD0s8L1zaM6sU4io2F5qBbkB	Copy of UU_24_2011_BPJS_20251122_163034_756588.pdf	Other
1mV71N3_zBl3rD42d1lERJdJEzAJU0cLP	Copy of UU_24_2013_Adminduk_Amendment_20251122_163034_34c5f0.pdf	Other
165ajsFaE1y2U4mWvr6SHWHUZjh2NxWrs	Copy of UU_25_2007_Investment_20251122_163034_96c848.pdf	Other
1nknO819v2AlbIKt4_o925LOm_7cicbAH	Copy of UU_25_2007_Penanaman_Modal_20251122_163034_a901ce.pdf	Other
1IirLsK03E-SEtO8-S6bjm83_74Ab2CYT	Copy of UU_29_2004_Medical_Practice_20251122_163034_3e8d7c.pdf	Other
18iga1ZSfsVS2ImAxVOpUY9iiDyFZJMxw	Copy of UU_29_2004_Praktik_Kedokteran_20251122_163034_ca7a95.pdf	Other
1BhfsGwcu79yWgWCvNCb_YA_6VkD60jM8	Copy of UU_2_2017_Construction_20251122_163034_b08088.pdf	Other
1IUfqNqSSiEcW1i5GeilcolFInLdz5Fye	Copy of UU_2_2017_Jasa_Konstruksi_20251122_163034_490b7b.pdf	Other
1Jirdsreq8p8HTb2oH9bknAWXQMZ4MDRt	Copy of UU_31_2004_Fisheries_20251122_163034_2049d6.pdf	Other
1E4auDedtJjVvRJYVZy3CzGBD3KIzuf5P	Copy of UU_31_2004_Perikanan_20251122_163034_6aff88.pdf	Other
1PN5pp-xjcjo3VdxEIp3YN29oRbhik19E	Copy of UU_32_2009_Environment_20251122_163034_8c7441.pdf	Other
1dP2IuTGVVhyxuz-OckjqEDb7j3dn15y6	Copy of UU_32_2009_Lingkungan_Hidup_20251122_163034_74a018.pdf	Other
17RsqOjRqBK8UFF7pTntx__vA8wxeOW93	Copy of UU_36_2008_PPh_20251122_163034_388292.pdf	Other
1j6QITe90rwgvXWJOusFER2F3KRtYyWLp	Copy of UU_36_2009_Health_20251122_163034_4f61bb.pdf	Other
1WMIPl9vSQ4yDnHiuuIyI6AcDsVsb3gTb	Copy of UU_40_2007_PT_PMA_20251122_163034_5c2c11.pdf	Other
1gtv0JokR_dwWxt1-9xXkD__migwIvpDY	Copy of UU_44_2009_Rumah_Sakit_20251122_163034_2f914b.pdf	Other
1KcixZMRS26-7pwPgy4oXFw61gZbj7qnb	Copy of UU_4_2023_Financial_Sector_Dev_20251122_163034_e8880d.pdf	Other
1Az4ir-QmeisFG04cvCMo-sMPvvdy7N05	Copy of UU_4_2023_PPSK_20251122_163034_2aad03.pdf	Other
1drdfgk3I4w5WCJKT5FOaZ3rCbLSmc1rD	Copy of UU_5_1960_Real_Estate_20251122_163034_4b5f11.pdf	Other
1CQXNtz4NkCQYrWa0f2pqcAfRHbb7c5oq	Copy of UU_5_1960_UUPA_20251122_163034_fbf36b.pdf	Other
1-5gi9zkrWqKXGyd9dN_Nr4WccYvpx7bU	Copy of UU_6_2011_Immigration_20251122_163034_1244ae.pdf	Other
14i7u6KWmw4SsJIr9B9BoU85O9qgSl9Nw	Copy of UU_6_2011_Keimigrasian_20251122_163034_123521.pdf	Other
1RT0tCtY2inrzOL_54ZuAvq6FAdRQ0SgD	Copy of UU_6_2023_Cipta_Kerja_20251122_163034_739044.pdf	Other
1rTmF2Gv46NBeLZ7IN0C6wVZnnoRE1xzL	Copy of UU_6_2023_Cipta_Kerja_20251122_163034_956903.pdf	Other
1UBKuV8e2S9ZKlVjgxS4sn5tinalTgbYr	Copy of UU_7_1992_Banking_20251122_163034_1ca21a.pdf	Other
1kEddmK6O-JI7_Sztuu50dbzJsFyGeoqJ	Copy of UU_7_1992_Perbankan_20251122_163034_76ad5b.pdf	Other
1NL7chMsX0gLdmwG0EFIxcB3iXyw2fpRu	Copy of UUD 1945 dan Amandemen.pdf	Other
1NDi2GYVlvNCaRiQ0GhglT-Hu5HIb2oCd	Copy of UUD_1945_Amd1_20251122_163034_a0d9f2.pdf	Other
17dE8YkjH4RBqAhBsW1mLX0XePmoT6FQR	Copy of UUD_1945_Amd2_20251122_163034_7476b5.pdf	Other
1su7qilxJp2VDamsNqIjR07Ttm2UGCPnM	Copy of UUD_1945_Amd3_20251122_163034_2ea2aa.pdf	Other
1cFRdYUEo6iIAQ0xZ7B9rCF6twiM8TOoy	Copy of UUD_1945_Amd4_20251122_163034_eb7c5a.pdf	Other
1XP8np5NGxsHYEei3Fd5VrE9vPMm5ZjBM	Copy of Veteran Republik Indonesia.pdf	Other
1u1s1w0S2N3SPCjTUAEjWW06ARxcVU9S3	Copy of Wilayah Negara.pdf	Other
1lYduXOZARfsoJHClHmTXaPnIYOnLD1QN	denpasar_denpasar_barat_01_51A9_PP.pdf	Other
18lO1jVG0Cw55mE9wSPy1vc6456lOqSoA	denpasar_denpasar_selatan_01_51B2_PP.pdf	Other
1twDxvyvWyd-hW58OYm8jDpY-6ZDpUywE	denpasar_denpasar_selatan_02_51B2_BA_Lampiran.pdf	Other
1JyTmlwjdTbMAblEHcUq708I79nmHZUsk	denpasar_denpasar_tengah_01_51A8_PP.pdf	Other
1ROEe9Q-MlGYTJqvy05Xd_xwwDbSI3S-D	denpasar_denpasar_timur_01_51B3_PP.pdf	Other
1wYuwhgx1yPNEsHl8cm5Ntkej-qJJdT_M	denpasar_denpasar_utara_01_51A5_PP.pdf	Other
1o_Eu1O_FXQBP2GKHA2jtihMMCIuf6yes	denpasar_denpasar_utara_02_51A5_BA_Lampiran.pdf	Other
1OUD7kUjfsiXEggnOApaPPVhUv_HMzqJj	Dewan Pertimbangan Presiden.pdf	Other
1jyFkzh0tNYOomLH3k8VWY9OE6E3bakt5	Energi.pdf	Other
1JzGJ309jRdB5n2-sgu4ES2pL3LvYO_76	gianyar_blahbatuh_01_51C8_PP.pdf	Other
1wp4jCpT7lVSMHYGjXWFJZMeKPUtaLfoi	gianyar_blahbatuh_02_51C8_BA_Lampiran.pdf	Other
1jI5Z4btaYGwVtwdy5DeTpjG6ipbKOtVR	gianyar_gianyar_01_51C7_PP.pdf	Other
1ATM5IvWhEXq4lvZcwOgbgbO4v0SqenlX	gianyar_gianyar_02_51C7_BA_Lampiran.pdf	Other
1xk7sUcgHlbZX13OYGqyUE9aFDtrkk-MH	gianyar_payangan_01_51B6_PP.pdf	Other
1LiRCX0mM4HzuSKi8yLUO4cuigPS3udak	gianyar_payangan_02_51B6_BA_Lampiran.pdf	Other
